recipient_id,recipient_name,category,subcategory,book_title,publisher,award_status,year,location,publication,show,company,restaurant_name,project
25828,Justin Pichetrungsi,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Los Angeles, California",,,,Anajak Thai,
25829,Judept Irra,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Bell Gardens, California",,,,Tamales Elena y Antojitos,
25830,Keith Corbin,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Los Angeles, California",,,,Alta Adams,
25810,Darnell Reed,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Chicago, Illinois",,,,Luellas Southern Kitchen,
25811,Hamissi Mamba,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Detroit, Michigan",,,,Baobab Fare,
25831,Matthew Kammerer,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Elk, California",,,,The Harbor House Inn,
25592,David Vargas,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Portsmouth, New Hampshire",,,,Vida Cantina,
25594,Bowman Brown,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Biddeford, Maine",,,,Elda,
25595,Tico Huynh,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Boston, Massachusetts",,,,Yvonne's,
25596,Jeremy Kean,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Boston, Massachusetts",,,,Brassica Kitchen + Cafe,
25598,Philip Kruta,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Boston, Massachusetts",,,,Brassica Kitchen + Cafe,
25599,David Clegg,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Easthampton, Massachusetts",,,,Daily Operation,
25601,Jessica Pollard,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Easthampton, Massachusetts",,,,Daily Operation,
25602,Aaron Verzosa,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Seattle, Washington",,,,Archipelago,
25603,Nathan Bentley,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Anchorage, Alaska",,,,Altura Bistro,
25604,Beau Schooler,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Juneau, Alabama",,,,In Bocca al Lupo,
25605,Brandon Pettit,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Seattle, Washington",,,,Delancey,
25607,Chad White,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Spokane, Washington",,,,Zona Blanca,
25608,Erasto Jackson,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Seattle, Washington",,,,Lil Red's Takeout and Catering,
25609,David Nichols,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Seattle, Washington",,,,Eight Row,
25610,Jonathan Jones,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Salem, Oregon",,,,Epilogue Kitchen & Cocktails,
25612,Elizabeth Kenyon,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Seattle, Washington",,,,Rupee Bar,
25614,Mark Pomaski,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Hilo, Hawaii",,,,Moon & Turtle,
25616,Nick Coffey,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Lopez Island, Washington",,,,Ursa Minor,
25620,Vince Nguyen,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Portland, Oregon",,,,Berlu,
25597,Jeffery philip Fournier,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Jackson, New Hampshire",,,,Thompson House Eatery,
25621,Robert Urquidi,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Honolulu, Hawaii",,,,Ethel's Grill,
25622,Jojo Vasquez,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Lahaina, Hawaii",,,,Fond,
25494,Amy Dawson,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Lost Creek, West Virginia",,,,Lost Creek Farm,
25537,Chris McDonald,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Lander, Wyoming",,,,Cowfish,
25524,Melissa Hamilton,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Milford, New Jersey",,,,Canal House Station,
25535,Brian Menges,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Livingston, Montana",,,,The 2nd Street Bistro,
25514,Adam Diltz,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Philadelphia, Pennsylvania",,,,Elwood,
25515,Anthony Andiario,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"West Chester, Pennsylvania",,,,Andiario,
